사업명,사업대분류,사업세부분류,자치구,면적,위치,용도지역(기존),용도지역(변경),용적률,건폐율,층수(지상/지하),높이,공급세대,분양,임대,임대비율,유형,권역,추진단계,추진일시,자료기준일,시 담당부서,시 연락처,구 담당부서,구 연락처
목동1단지,정비사업,신속통합기획,양천구,"165,497 ㎡",목동 901 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.11.05,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3443
목동2단지,정비사업,신속통합기획,양천구,"159,253 ㎡",목동 902 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.12.05,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3443
목동3단지,정비사업,신속통합기획,양천구,"159,544 ㎡",목동 903 일대,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.12.05,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3443
목동4단지,정비사업,신속통합기획,양천구,"101,514.5 ㎡",목동 904,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2023.10.30,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3443
목동5단지,정비사업,신속통합기획,양천구,"70,485.4 ㎡",목동 913-4,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2023.10.19,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3459
목동7단지,정비사업,신속통합기획,양천구,"229,578.9 ㎡",신정동 925,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2023.06.29,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3459
목동8단지,정비사업,재건축(공동),양천구,"88,842.3 ㎡",신정동 314 일대,"제1종,제3종일반","제1종,제3종일반",300%,50%,49층이하,180,"1,881세대","1,588",293,15.58%,재건축(공동),서남권,구역지정,2025.03.13,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3456
목동8단지,정비사업,신속통합기획,양천구,"88,599 ㎡",신정동 314,-,-,,,,,,,,,신속통합기획,서남권,기획완료,2024.10.30,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3456
목동9단지,정비사업,신속통합기획,양천구,"158,115 ㎡",신정동 313,-,-,,,,,,,,,신속통합기획,서남권,대상지선정(추진중),2024.01.31,2025.05.31,서울특별시 공동주택과,2133-7286,양천구 재건축사업과,2620-3456
무교다동구역 4지구,정비사업,신속통합기획,중구,"4,736 ㎡",무교동 45외 2 일대,-,-,,,,,,,,,신속통합기획,도심권,대상지선정(추진중),2025.04.07,2025.05.31,서울특별시 신속통합기획과,2133-8304,중구 도심정비과,3396-5772
문래동국화아파트,정비사업,재건축(공동),영등포구,"17,794 ㎡",문래동3가 76-1,준공업,준공업,-,-,-,-,354세대,324,30,8.47%,재건축(공동),서남권,조합설립인가,2024.11.28,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3506
문래동남성아파트,정비사업,재건축(공동),영등포구,"15,669 ㎡",문래동2가 35,준공업,준공업,299.15%,21.14%,-,79.9,488세대,436,52,10.66%,재건축(공동),서남권,사업시행인가,2021.07.23,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3885
문래동진주아파트,정비사업,재건축(공동),영등포구,"11,188 ㎡",문래동5가 22,준공업,준공업,299.98%,26.02%,3/21,-,324세대,284,40,12.35%,재건축(공동),서남권,관리처분계획인가,2023.08.17,2025.05.31,서울특별시 공동주택과,2133-7141,영등포구 주거사업과,2670-3501
미성동 건영아파트,정비사업,재건축(공동),관악구,"20,789 ㎡",미성동 746-43,"제2종,제3종일반","제2종,제3종일반",249.88%,27.09%,3/23,-,601세대,551,50,8.32%,재건축(공동),서남권,조합설립인가,2020.12.30,2025.05.31,서울특별시 공동주택과,2133-7287,관악구 주택과,879-6322
미아11,정비사업,재개발(주택정비형),강북구,"11,526 ㎡",미아동 791-108,"제2종(7층),제3종일반",제2종일반,-,-,-,-,598세대,495,103,17.22%,재개발(주택정비형),동북권,건축심의,2023.06.30,2025.05.31,서울특별시 주거정비과,2133-7203,강북구 주거정비과,901-2553
미아2,정비사업,재개발(주택정비형),강북구,"179,566 ㎡",미아동 403,"제1종,제2종(7층),제2종일반","제1종,제2종(7층),제2종일반",260.89%,24.84%,35층이하,105,"3,519세대","2,915",604,17.16%,재개발(주택정비형),동북권,조합설립인가,2016.05.31,2025.05.31,서울특별시 재정비촉진과,2133-7226,강북구 주거정비과,901-2564
미아3재정비촉진,정비사업,재개발(주택정비형),강북구,"57,553 ㎡",미아동 439,"제2종,제3종일반","제2종,제3종일반",229.06%,25.1%,3/29,81.9,"1,037세대",858,179,17.26%,재개발(주택정비형),동북권,관리처분계획인가,2024.06.03,2025.05.31,서울특별시 재정비촉진과,2133-7226,강북구 주거정비과,901-2562
미아4-1,정비사업,신속통합기획,강북구,"51,625 ㎡",미아동 8-373 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2022.11.09,2025.05.31,서울특별시 신속통합기획과,2133-1686,강북구 주거정비과,901-2555
미아동 75,정비사업,신속통합기획,강북구,"55,000 ㎡",미아동 75 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2025.02.17,2025.05.31,서울특별시 신속통합기획과,2133-1687,강북구 주거정비과,901-2555
미아동 130 일대,정비사업,신속통합기획,강북구,"71,059.5 ㎡",미아동 130 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.12.13,2025.05.31,서울특별시 신속통합기획과,2133-1694,강북구 주거정비과,901-2554
미아동 258,정비사업,신속통합기획,강북구,"145,065 ㎡",미아동 258 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.10.23,2025.05.31,서울특별시 신속통합기획과,2133-1687,강북구 주거정비과,901-2554
미아동 345-1 일대,정비사업,신속통합기획,강북구,"44,061 ㎡",미아동 345-1 일대,-,-,,,,,,,,,신속통합기획,동북권,대상지선정(추진중),2024.03.28,2025.05.31,서울특별시 신속통합기획과,2133-1694,강북구 주거정비과,901-2556
미아동 791-2882 일대,정비사업,신속통합기획,강북구,"140,696 ㎡",미아동 791-2882 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.06.28,2025.05.31,서울특별시 신속통합기획과,2133-1694,강북구 주거정비과,901-2552
반포미도1차,정비사업,재건축(공동),서초구,"76,527 ㎡",반포동 60-4,"제1종,제3종일반","제1종,제3종일반",-,-,-,-,"1,739세대","1,531",208,11.96%,재건축(공동),동남권,추진위구성,2025.01.24,2025.05.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7348
반포미도2차,정비사업,신속통합기획,서초구,"18,864 ㎡",반포동 60-5 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.10.23,2025.05.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7358
반포주공1단지(3주구),정비사업,재건축(공동),서초구,"117,114 ㎡",반포동 1109,"제1종,제2종(7층),제2종(12층),제3종일반,자연녹지","제1종,제2종(7층),제2종(12층),제3종일반,자연녹지",269.71%,20.67%,3/35,111,"2,091세대","2,091",-,-,재건축(공동),동남권,착공,2023.03.03,2025.05.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7348
방배 임광3차,정비사업,신속통합기획,서초구,"12,271.1 ㎡",방배동 1011-1 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2024.09.02,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7348
방배삼익,정비사업,재건축(공동),서초구,"25,790.9 ㎡",방배동 1018-1,제3종일반,제3종일반,294.45%,25.04%,5/27,80.5,707세대,621,86,12.16%,재건축(공동),동남권,착공,2023.11.21,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7346
방배삼호,정비사업,재건축(공동),서초구,"40,995.3 ㎡",방배동 771-1,제3종일반,제3종일반,-,-,-,-,804세대,804,-,-,재건축(공동),동남권,추진위구성,2021.10.19,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7340
방배삼호,정비사업,신속통합기획,서초구,"46,525 ㎡",방배동 771-1 일대,-,-,,,,,,,,,신속통합기획,동남권,대상지선정(추진중),2025.03.25,2025.05.31,서울특별시 공동주택과,2133-7147,서초구 재건축사업과,2155-7348
방배신동아,정비사업,재건축(공동),서초구,"36,113.1 ㎡",방배동 988-1,제3종일반,제3종일반,299.98%,16.39%,3/35,102.4,843세대,734,109,12.93%,재건축(공동),동남권,관리처분계획인가,2023.10.12,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-7346
방배신삼호,정비사업,재건축(공동),서초구,"44,106 ㎡",방배동 725,"제2종(7층),제3종일반","제2종(7층),제3종일반",-,-,-,-,857세대,716,141,16.45%,재건축(공동),동남권,조합설립인가,2019.03.15,2025.05.31,서울특별시 공동주택과,2133-7287,서초구 재건축사업과,2155-8791
방학3구역,정비사업,신속통합기획,도봉구,"72,533.1 ㎡",방학동 685-1 일대,-,-,,,,,,,,,신속통합기획,동북권,기획완료,2024.02.07,2025.05.31,서울특별시 신속통합기획과,2133-1691,도봉구 재건축재개발과,2091-3412
방화2,정비사업,재개발(주택정비형),강서구,"34,900 ㎡",방화동 589-13,제2종(7층)일반,제2종일반,230%,30%,-,57.86,728세대,613,115,15.8%,재개발(주택정비형),서남권,조합설립인가,2024.03.21,2025.05.31,서울특별시 재정비촉진과,2133-7187,강서구 도시재생과,2600-6747
