순번,자치구,구역명,위치,공공/민간,일반/재촉지구,사업유형,사업추진단계,기존 가구수(멸실량),최초,변경(최종),추진위원회,조합설립인가(사업시행자 지정일),건축심의,사업시행인가_최초,사업시행인가_변경(최종),관리처분계획인가_최초,관리처분계획인가_변경(최종),이주시작일,이주종료일,착공,세대총합계,분양,임대
81,용산구,한강맨션아파트,이촌동 300-23,민간,일반,아파트지구 재건축,관리처분,717,2018-03-15,2023-09-07,2003-12-26,2017-06-05,2019-09-10,2021-09-24,,2022-12-02,,,,,"1,459","1,303",156
82,용산구,후암1,후암동 142-4,민간,일반,단독주택 재건축,추진위,730,,,2007-04-23,,,,,,,,,,0,0,0
83,용산구,한강삼익아파트,이촌동 300-301,민간,일반,아파트지구 재건축,사업시행,252,2018-03-15,2023-04-28,,2003-05-10,2019-03-12,2020-06-05,,,,,,,326,274,52
84,용산구,왕궁아파트,이촌동 300-11,민간,일반,아파트지구 재건축,조합설립,250,2023-09-07,2024-11-14,2006-05-23,2008-12-09,,,,,,,,,318,260,58
85,용산구,청화아파트,이태원동 22-2,민간,일반,공동주택 재건축,추진위,578,,,2009-12-30,,,,,,,,,,724,689,35
86,용산구,이촌1,"이촌동 199,203,206",민간,일반,단독주택 재건축,추진위,520,,,2007-02-23,,,,,,,,,,0,0,0
87,용산구,신동아아파트,서빙고동 241-21,민간,일반,아파트지구 재건축,조합설립,"1,326",,,2017-10-13,2021-01-07,,,,,,,,,"1,903","1,646",257
88,용산구,중산시범아파트,이촌동 211-2,민간,일반,공동주택 재건축,추진위,266,,,2005-07-12,,,,,,,,,,0,0,0
89,용산구,강변강서아파트,"이촌동 193-3,5",공공,일반,아파트지구 재건축,조합설립,213,,,,1993-04-12,,,,,,,,,204,180,24
242,마포구,신촌지역(마포)3-3,노고산동 31-77,민간,일반,도시정비형 재개발,관리처분,29,2014-08-28,2020-12-17,,,2021-10-12,2022-02-17,,2022-09-01,,2019-07-17,2022-10-31,,288,237,51
243,마포구,신촌지역(마포)4-5,노고산동 109-125,민간,일반,도시정비형 재개발,구역지정,0,2014-08-28,2014-08-28,,,,,,,,,,,40,22,18
244,마포구,신촌지역(마포)2-7,노고산동 57-20,민간,일반,도시정비형 재개발,관리처분,1,2014-08-28,2022-09-08,,,2023-04-11,2023-11-23,2023-11-23,2024-09-05,2024-09-05,,,,189,140,49
245,마포구,신촌지역(마포)4-9,노고산동 106-9,민간,일반,도시정비형 재개발,사업시행,13,2014-08-28,2022-10-20,,,2023-04-25,2024-01-25,,,,,,,286,210,76
248,마포구,마포로1-10,도화동 536,민간,일반,도시정비형 재개발,건축심의,90,1979-09-21,2022-03-03,2019-10-22,2020-06-04,2023-01-16,,,,,,,,231,185,46
249,마포구,마포로3-1,아현동 617-1,민간,일반,도시정비형 재개발,착공,4,1979-09-21,2024-04-18,,,2021-08-24,2021-12-23,2024-05-20,2023-01-19,,2020-08-15,2021-05-28,2024-09-06,198,163,35
